mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj	cluster
lipid metablism	lipid metablism	25	93	['C327_HILIC', 'B154_HILIC', 'C310_HILIC', 'B129_HILIC', 'C158_RP', 'C136_RP', 'B177_HILIC', 'C260_HILIC', 'C338_HILIC', 'C323_HILIC', 'B136_HILIC', 'C201_RP', 'B123_HILIC', 'C197_RP', 'C321_HILIC', 'C116_RP', 'C346_HILIC', 'C297_HILIC', 'C331_HILIC', 'C378_HILIC', 'B115_HILIC', 'B149_HILIC', 'C317_HILIC', 'A078_RP', 'C347_HILIC', 'C334_HILIC', 'C293_HILIC', 'C315_HILIC', 'B181_HILIC', 'B132_HILIC', 'C313_HILIC', 'C280_HILIC', 'B185_HILIC', 'B152_HILIC', 'C308_HILIC', 'C332_HILIC', 'C328_HILIC', 'C320_HILIC', 'C236_HILIC', 'C340_HILIC', 'A068_RP', 'B188_HILIC', 'C339_HILIC', 'A101_HILIC', 'B179_HILIC', 'C112_RP', 'C185_RP', 'C150_RP', 'C291_HILIC', 'B172_HILIC', 'C319_HILIC', 'C264_HILIC', 'C311_HILIC', 'C290_HILIC', 'C161_RP', 'C292_HILIC', 'C330_HILIC', 'C143_RP', 'B176_HILIC', 'C344_HILIC', 'B178_HILIC', 'C210_HILIC', 'B171_HILIC', 'A099_HILIC', 'C335_HILIC', 'C306_HILIC', 'C363_HILIC', 'B164_HILIC', 'B162_HILIC', 'B161_HILIC', 'A066_RP', 'C164_RP', 'C157_RP', 'A008_HILIC', 'C245_HILIC', 'C166_RP', 'C207_RP', 'C345_HILIC', 'A045_HILIC', 'B174_HILIC', 'B155_HILIC', 'B163_HILIC', 'B098_RP', 'C154_RP', 'C375_HILIC', 'C141_RP', 'C300_HILIC', 'C343_HILIC', 'C336_HILIC', 'C312_HILIC', 'C341_HILIC', 'C204_RP', 'B170_HILIC']	0.8686335543053932	False	0.9596250183875582	1
aa metabolism	aa metabolism	27	108	['B125_HILIC', 'A066_HILIC', 'A028_HILIC', 'C233_HILIC', 'A029_RP', 'A023_HILIC', 'A017_HILIC', 'A039_HILIC', 'C217_HILIC', 'A030_RP', 'C148_RP', 'A062_HILIC', 'C218_HILIC', 'C254_HILIC', 'A054_HILIC', 'B134_HILIC', 'A012_RP', 'C234_HILIC', 'A009_HILIC', 'C153_RP', 'B141_HILIC', 'A025_HILIC', 'A038_HILIC', 'A075_RP', 'C305_HILIC', 'A002_HILIC', 'A046_HILIC', 'A074_RP', 'A002_RP', 'A025_RP', 'A077_RP', 'B147_HILIC', 'C200_HILIC', 'C226_HILIC', 'B150_HILIC', 'A063_HILIC', 'C268_HILIC', 'B169_HILIC', 'C125_RP', 'A015_HILIC', 'B160_HILIC', 'C220_HILIC', 'C225_HILIC', 'A014_HILIC', 'C250_HILIC', 'C117_RP', 'B121_HILIC', 'A055_HILIC', 'A016_HILIC', 'A037_HILIC', 'C139_RP', 'A076_RP', 'A024_RP', 'A050_HILIC', 'C235_HILIC', 'C215_HILIC', 'C118_RP', 'B143_HILIC', 'B126_HILIC', 'C281_HILIC', 'A093_HILIC', 'A012_HILIC', 'C301_HILIC', 'C251_HILIC', 'A003_HILIC', 'C267_HILIC', 'C278_HILIC', 'B120_HILIC', 'C129_RP', 'C130_RP', 'C206_HILIC', 'A065_HILIC', 'A021_HILIC', 'A033_HILIC', 'A024_HILIC', 'C191_HILIC', 'A082_HILIC', 'A022_HILIC', 'C222_HILIC', 'B153_HILIC', 'C247_HILIC', 'B142_HILIC', 'A057_HILIC', 'A006_HILIC', 'A013_HILIC', 'C257_HILIC', 'C207_HILIC', 'A029_HILIC', 'A020_HILIC', 'B167_HILIC', 'A047_HILIC', 'A030_HILIC', 'A035_HILIC', 'B146_HILIC', 'C216_HILIC', 'A007_HILIC', 'A051_RP', 'B130_HILIC', 'C241_HILIC', 'A058_HILIC', 'A026_HILIC', 'A027_HILIC', 'A010_HILIC', 'A064_HILIC', 'A036_HILIC', 'A094_HILIC', 'C256_HILIC', 'B122_HILIC']	0.9596250183875582	False	0.9596250183875582	1
other	other	14	62	['A097_HILIC', 'C261_HILIC', 'C249_HILIC', 'A076_HILIC', 'C214_HILIC', 'C270_HILIC', 'C294_HILIC', 'C195_HILIC', 'A014_RP', 'A112_HILIC', 'A079_HILIC', 'C252_HILIC', 'C246_HILIC', 'C224_HILIC', 'A032_HILIC', 'B088_RP', 'A092_HILIC', 'C211_HILIC', 'C276_HILIC', 'C190_HILIC', 'A067_HILIC', 'B148_HILIC', 'C277_HILIC', 'C232_HILIC', 'B133_HILIC', 'A052_HILIC', 'A056_HILIC', 'A044_HILIC', 'A034_HILIC', 'C227_HILIC', 'C113_RP', 'B119_HILIC', 'A043_HILIC', 'B127_HILIC', 'C262_HILIC', 'A103_HILIC', 'A005_HILIC', 'B137_HILIC', 'C265_HILIC', 'A073_HILIC', 'C239_HILIC', 'C266_HILIC', 'C228_HILIC', 'A061_HILIC', 'B151_HILIC', 'B180_HILIC', 'A083_HILIC', 'C283_HILIC', 'A049_HILIC', 'A081_HILIC', 'C273_HILIC', 'B128_HILIC', 'B145_HILIC', 'C253_HILIC', 'B173_HILIC', 'B175_HILIC', 'B116_HILIC', 'C230_HILIC', 'C192_HILIC', 'C255_HILIC', 'B092_RP', 'A053_HILIC']	0.22824177491124595	False	0.7446642011736331	2
aa metabolism	aa metabolism	21	108	['B125_HILIC', 'A066_HILIC', 'A028_HILIC', 'C233_HILIC', 'A029_RP', 'A023_HILIC', 'A017_HILIC', 'A039_HILIC', 'C217_HILIC', 'A030_RP', 'C148_RP', 'A062_HILIC', 'C218_HILIC', 'C254_HILIC', 'A054_HILIC', 'B134_HILIC', 'A012_RP', 'C234_HILIC', 'A009_HILIC', 'C153_RP', 'B141_HILIC', 'A025_HILIC', 'A038_HILIC', 'A075_RP', 'C305_HILIC', 'A002_HILIC', 'A046_HILIC', 'A074_RP', 'A002_RP', 'A025_RP', 'A077_RP', 'B147_HILIC', 'C200_HILIC', 'C226_HILIC', 'B150_HILIC', 'A063_HILIC', 'C268_HILIC', 'B169_HILIC', 'C125_RP', 'A015_HILIC', 'B160_HILIC', 'C220_HILIC', 'C225_HILIC', 'A014_HILIC', 'C250_HILIC', 'C117_RP', 'B121_HILIC', 'A055_HILIC', 'A016_HILIC', 'A037_HILIC', 'C139_RP', 'A076_RP', 'A024_RP', 'A050_HILIC', 'C235_HILIC', 'C215_HILIC', 'C118_RP', 'B143_HILIC', 'B126_HILIC', 'C281_HILIC', 'A093_HILIC', 'A012_HILIC', 'C301_HILIC', 'C251_HILIC', 'A003_HILIC', 'C267_HILIC', 'C278_HILIC', 'B120_HILIC', 'C129_RP', 'C130_RP', 'C206_HILIC', 'A065_HILIC', 'A021_HILIC', 'A033_HILIC', 'A024_HILIC', 'C191_HILIC', 'A082_HILIC', 'A022_HILIC', 'C222_HILIC', 'B153_HILIC', 'C247_HILIC', 'B142_HILIC', 'A057_HILIC', 'A006_HILIC', 'A013_HILIC', 'C257_HILIC', 'C207_HILIC', 'A029_HILIC', 'A020_HILIC', 'B167_HILIC', 'A047_HILIC', 'A030_HILIC', 'A035_HILIC', 'B146_HILIC', 'C216_HILIC', 'A007_HILIC', 'A051_RP', 'B130_HILIC', 'C241_HILIC', 'A058_HILIC', 'A026_HILIC', 'A027_HILIC', 'A010_HILIC', 'A064_HILIC', 'A036_HILIC', 'A094_HILIC', 'C256_HILIC', 'B122_HILIC']	0.43339185308853895	False	0.7446642011736331	2
nucleoside metabolism	nucleoside metabolism	9	46	['C299_HILIC', 'A031_HILIC', 'A011_HILIC', 'C307_HILIC', 'C284_HILIC', 'C248_HILIC', 'A059_RP', 'A095_HILIC', 'A091_HILIC', 'A042_HILIC', 'B165_HILIC', 'B186_HILIC', 'A089_HILIC', 'C269_HILIC', 'C325_HILIC', 'A104_HILIC', 'A078_HILIC', 'A085_HILIC', 'A077_HILIC', 'A070_HILIC', 'A086_HILIC', 'C326_HILIC', 'A072_HILIC', 'A087_HILIC', 'A100_HILIC', 'B109_RP', 'B183_HILIC', 'A098_HILIC', 'B187_HILIC', 'A041_HILIC', 'B139_HILIC', 'B104_RP', 'B158_HILIC', 'A071_HILIC', 'A040_HILIC', 'A090_HILIC', 'C285_HILIC', 'C198_HILIC', 'B138_HILIC', 'A106_HILIC', 'A096_HILIC', 'A080_HILIC', 'B083_RP', 'A105_HILIC', 'B168_HILIC', 'A068_HILIC']	0.4886405407839715	False	0.7446642011736331	2
glycolysis	glycolysis	3	14	['C223_HILIC', 'A004_HILIC', 'A059_HILIC', 'A054_RP', 'A001_HILIC', 'A088_HILIC', 'A041_RP', 'A074_HILIC', 'A069_HILIC', 'A051_HILIC', 'A039_RP', 'A075_HILIC', 'A048_HILIC', 'B157_HILIC']	0.49644280078242203	False	0.7446642011736331	2
lipid metablism	lipid metablism	15	93	['C327_HILIC', 'B154_HILIC', 'C310_HILIC', 'B129_HILIC', 'C158_RP', 'C136_RP', 'B177_HILIC', 'C260_HILIC', 'C338_HILIC', 'C323_HILIC', 'B136_HILIC', 'C201_RP', 'B123_HILIC', 'C197_RP', 'C321_HILIC', 'C116_RP', 'C346_HILIC', 'C297_HILIC', 'C331_HILIC', 'C378_HILIC', 'B115_HILIC', 'B149_HILIC', 'C317_HILIC', 'A078_RP', 'C347_HILIC', 'C334_HILIC', 'C293_HILIC', 'C315_HILIC', 'B181_HILIC', 'B132_HILIC', 'C313_HILIC', 'C280_HILIC', 'B185_HILIC', 'B152_HILIC', 'C308_HILIC', 'C332_HILIC', 'C328_HILIC', 'C320_HILIC', 'C236_HILIC', 'C340_HILIC', 'A068_RP', 'B188_HILIC', 'C339_HILIC', 'A101_HILIC', 'B179_HILIC', 'C112_RP', 'C185_RP', 'C150_RP', 'C291_HILIC', 'B172_HILIC', 'C319_HILIC', 'C264_HILIC', 'C311_HILIC', 'C290_HILIC', 'C161_RP', 'C292_HILIC', 'C330_HILIC', 'C143_RP', 'B176_HILIC', 'C344_HILIC', 'B178_HILIC', 'C210_HILIC', 'B171_HILIC', 'A099_HILIC', 'C335_HILIC', 'C306_HILIC', 'C363_HILIC', 'B164_HILIC', 'B162_HILIC', 'B161_HILIC', 'A066_RP', 'C164_RP', 'C157_RP', 'A008_HILIC', 'C245_HILIC', 'C166_RP', 'C207_RP', 'C345_HILIC', 'A045_HILIC', 'B174_HILIC', 'B155_HILIC', 'B163_HILIC', 'B098_RP', 'C154_RP', 'C375_HILIC', 'C141_RP', 'C300_HILIC', 'C343_HILIC', 'C336_HILIC', 'C312_HILIC', 'C341_HILIC', 'C204_RP', 'B170_HILIC']	0.799348236975486	False	0.9592178843705831	2
bioenergetic process	bioenergetic process	1	23	['A084_HILIC', 'B124_HILIC', 'A114_HILIC', 'A019_HILIC', 'A102_HILIC', 'A107_HILIC', 'A110_HILIC', 'B118_HILIC', 'A111_HILIC', 'B140_HILIC', 'B184_HILIC', 'A022_RP', 'A113_HILIC', 'C208_HILIC', 'C286_HILIC', 'A060_HILIC', 'A011_RP', 'C303_HILIC', 'A109_HILIC', 'A108_HILIC', 'C242_HILIC', 'C240_HILIC', 'A073_RP']	0.9923927425358893	False	0.9923927425358893	2
lipid metablism	lipid metablism	15	93	['C327_HILIC', 'B154_HILIC', 'C310_HILIC', 'B129_HILIC', 'C158_RP', 'C136_RP', 'B177_HILIC', 'C260_HILIC', 'C338_HILIC', 'C323_HILIC', 'B136_HILIC', 'C201_RP', 'B123_HILIC', 'C197_RP', 'C321_HILIC', 'C116_RP', 'C346_HILIC', 'C297_HILIC', 'C331_HILIC', 'C378_HILIC', 'B115_HILIC', 'B149_HILIC', 'C317_HILIC', 'A078_RP', 'C347_HILIC', 'C334_HILIC', 'C293_HILIC', 'C315_HILIC', 'B181_HILIC', 'B132_HILIC', 'C313_HILIC', 'C280_HILIC', 'B185_HILIC', 'B152_HILIC', 'C308_HILIC', 'C332_HILIC', 'C328_HILIC', 'C320_HILIC', 'C236_HILIC', 'C340_HILIC', 'A068_RP', 'B188_HILIC', 'C339_HILIC', 'A101_HILIC', 'B179_HILIC', 'C112_RP', 'C185_RP', 'C150_RP', 'C291_HILIC', 'B172_HILIC', 'C319_HILIC', 'C264_HILIC', 'C311_HILIC', 'C290_HILIC', 'C161_RP', 'C292_HILIC', 'C330_HILIC', 'C143_RP', 'B176_HILIC', 'C344_HILIC', 'B178_HILIC', 'C210_HILIC', 'B171_HILIC', 'A099_HILIC', 'C335_HILIC', 'C306_HILIC', 'C363_HILIC', 'B164_HILIC', 'B162_HILIC', 'B161_HILIC', 'A066_RP', 'C164_RP', 'C157_RP', 'A008_HILIC', 'C245_HILIC', 'C166_RP', 'C207_RP', 'C345_HILIC', 'A045_HILIC', 'B174_HILIC', 'B155_HILIC', 'B163_HILIC', 'B098_RP', 'C154_RP', 'C375_HILIC', 'C141_RP', 'C300_HILIC', 'C343_HILIC', 'C336_HILIC', 'C312_HILIC', 'C341_HILIC', 'C204_RP', 'B170_HILIC']	0.19157152810577285	False	0.8034694879037855	3
other	other	10	62	['A097_HILIC', 'C261_HILIC', 'C249_HILIC', 'A076_HILIC', 'C214_HILIC', 'C270_HILIC', 'C294_HILIC', 'C195_HILIC', 'A014_RP', 'A112_HILIC', 'A079_HILIC', 'C252_HILIC', 'C246_HILIC', 'C224_HILIC', 'A032_HILIC', 'B088_RP', 'A092_HILIC', 'C211_HILIC', 'C276_HILIC', 'C190_HILIC', 'A067_HILIC', 'B148_HILIC', 'C277_HILIC', 'C232_HILIC', 'B133_HILIC', 'A052_HILIC', 'A056_HILIC', 'A044_HILIC', 'A034_HILIC', 'C227_HILIC', 'C113_RP', 'B119_HILIC', 'A043_HILIC', 'B127_HILIC', 'C262_HILIC', 'A103_HILIC', 'A005_HILIC', 'B137_HILIC', 'C265_HILIC', 'A073_HILIC', 'C239_HILIC', 'C266_HILIC', 'C228_HILIC', 'A061_HILIC', 'B151_HILIC', 'B180_HILIC', 'A083_HILIC', 'C283_HILIC', 'A049_HILIC', 'A081_HILIC', 'C273_HILIC', 'B128_HILIC', 'B145_HILIC', 'C253_HILIC', 'B173_HILIC', 'B175_HILIC', 'B116_HILIC', 'C230_HILIC', 'C192_HILIC', 'C255_HILIC', 'B092_RP', 'A053_HILIC']	0.26782316263459516	False	0.8034694879037855	3
glycolysis	glycolysis	2	14	['C223_HILIC', 'A004_HILIC', 'A059_HILIC', 'A054_RP', 'A001_HILIC', 'A088_HILIC', 'A041_RP', 'A074_HILIC', 'A069_HILIC', 'A051_HILIC', 'A039_RP', 'A075_HILIC', 'A048_HILIC', 'B157_HILIC']	0.5647423133889349	False	0.8526838095737452	3
aa metabolism	aa metabolism	14	108	['B125_HILIC', 'A066_HILIC', 'A028_HILIC', 'C233_HILIC', 'A029_RP', 'A023_HILIC', 'A017_HILIC', 'A039_HILIC', 'C217_HILIC', 'A030_RP', 'C148_RP', 'A062_HILIC', 'C218_HILIC', 'C254_HILIC', 'A054_HILIC', 'B134_HILIC', 'A012_RP', 'C234_HILIC', 'A009_HILIC', 'C153_RP', 'B141_HILIC', 'A025_HILIC', 'A038_HILIC', 'A075_RP', 'C305_HILIC', 'A002_HILIC', 'A046_HILIC', 'A074_RP', 'A002_RP', 'A025_RP', 'A077_RP', 'B147_HILIC', 'C200_HILIC', 'C226_HILIC', 'B150_HILIC', 'A063_HILIC', 'C268_HILIC', 'B169_HILIC', 'C125_RP', 'A015_HILIC', 'B160_HILIC', 'C220_HILIC', 'C225_HILIC', 'A014_HILIC', 'C250_HILIC', 'C117_RP', 'B121_HILIC', 'A055_HILIC', 'A016_HILIC', 'A037_HILIC', 'C139_RP', 'A076_RP', 'A024_RP', 'A050_HILIC', 'C235_HILIC', 'C215_HILIC', 'C118_RP', 'B143_HILIC', 'B126_HILIC', 'C281_HILIC', 'A093_HILIC', 'A012_HILIC', 'C301_HILIC', 'C251_HILIC', 'A003_HILIC', 'C267_HILIC', 'C278_HILIC', 'B120_HILIC', 'C129_RP', 'C130_RP', 'C206_HILIC', 'A065_HILIC', 'A021_HILIC', 'A033_HILIC', 'A024_HILIC', 'C191_HILIC', 'A082_HILIC', 'A022_HILIC', 'C222_HILIC', 'B153_HILIC', 'C247_HILIC', 'B142_HILIC', 'A057_HILIC', 'A006_HILIC', 'A013_HILIC', 'C257_HILIC', 'C207_HILIC', 'A029_HILIC', 'A020_HILIC', 'B167_HILIC', 'A047_HILIC', 'A030_HILIC', 'A035_HILIC', 'B146_HILIC', 'C216_HILIC', 'A007_HILIC', 'A051_RP', 'B130_HILIC', 'C241_HILIC', 'A058_HILIC', 'A026_HILIC', 'A027_HILIC', 'A010_HILIC', 'A064_HILIC', 'A036_HILIC', 'A094_HILIC', 'C256_HILIC', 'B122_HILIC']	0.5684558730491635	False	0.8526838095737452	3
