Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",Name Metabolite ,Group 
A006_RP,L-Creatinine,113.0590,4.29,-0.1,-0.3,-0.5,0.8,0.1,-0.7,1.0,0.5,-0.5,1.000,1.000,1.000,0.017,1.000,0.062,0.004,0.421,0.160,2.8E+07,4.1E+07,3.5E+07,2.5E+07,2.9E+07,2.9E+07,3.2E+07,2.9E+07,2.0E+07,1.5E+07,1.7E+07,1.4E+07,1.5E+07,1.5E+07,1.9E+07,1.9E+07,3.4E+07,3.4E+07,3.4E+07,2.0E+07,2.4E+07,2.2E+07,2.2E+07,1.8E+07,1.2E+05,4.8E+05,4.4E+05,4.7E+05,4.0E+05,2.2E+05,3.3E+05,29.8,22.8,14.2,11.7,22.0,9.1,L-Creatinine,AA metabolism / Arginine / Glycine 
A047_RP,Phosphocreatine,211.0359,4.21,0.0,-0.8,-0.3,-2.0,-5.5,-3.5,-1.2,-5.2,-4.0,1.000,1.000,1.000,0.024,0.000,0.000,0.448,0.000,0.000,1.9E+06,4.8E+06,3.1E+06,2.5E+06,3.1E+06,2.8E+06,2.3E+06,2.4E+06,4.4E+06,9.7E+06,1.0E+07,8.1E+06,1.2E+07,3.9E+06,1.1E+07,4.5E+06,1.8E+08,1.8E+08,1.4E+08,4.0E+07,9.3E+07,7.2E+07,1.0E+08,1.3E+08,2.0E+05,2.1E+05,2.1E+05,2.1E+05,2.4E+05,2.3E+05,2.3E+05,59.7,31.7,42.7,36.3,34.8,23.9,Phosphocreatine,AA metabolism / Arginine / Glycine 
a074_RP,Putrescine,88.1001,3.12,0.0,0.0,-0.2,-4.9,-4.4,0.5,-4.9,-4.2,0.7,1.000,1.000,1.000,0.000,0.000,0.072,0.000,0.000,0.015,7.0E+05,8.4E+05,7.0E+05,6.6E+05,7.1E+05,7.2E+05,5.7E+05,5.9E+05,2.4E+07,2.0E+07,2.1E+07,2.0E+07,1.9E+07,1.6E+07,2.1E+07,2.2E+07,1.4E+07,1.4E+07,1.8E+07,8.3E+06,1.5E+07,1.3E+07,1.1E+07,1.3E+07,2.4E+05,1.7E+05,1.1E+05,1.3E+05,1.1E+05,1.1E+05,1.2E+05,22.0,20.1,12.2,10.7,15.1,10.0,Putrescine,AA Metabolism / Arginine / Spermidine 
A024_HILIC,N-Acetylputrescine,130.1108,21.20,0.2,0.5,0.1,-5.1,-5.8,-0.7,-5.4,-5.6,-0.3,1.000,1.000,1.000,0.000,0.000,0.399,0.000,0.000,1.000,1.1E+06,1.8E+06,8.7E+05,1.0E+06,9.1E+05,1.0E+06,8.2E+05,8.3E+05,4.0E+07,4.7E+07,3.3E+07,4.1E+07,2.0E+07,3.1E+07,2.8E+07,4.3E+07,4.8E+07,5.1E+07,5.0E+07,3.1E+07,5.0E+07,6.6E+07,3.4E+07,5.2E+07,1.9E+05,1.5E+05,1.5E+05,1.5E+05,2.4E+05,2.2E+05,1.7E+05,29.0,17.0,17.2,29.0,37.3,13.8,N-Acetylputrescine,AA Metabolism / Arginine / Spermidine / Polyamide 
A024_RP,Spermidine,145.1580,2.88,-0.5,-0.1,0.1,-1.7,-1.1,0.7,-2.2,-1.7,0.5,1.000,1.000,1.000,0.000,0.005,0.199,0.000,0.000,0.122,2.7E+07,2.1E+07,2.9E+07,1.4E+07,3.2E+07,2.1E+07,2.9E+07,2.0E+07,9.2E+07,8.9E+07,8.3E+07,9.9E+07,1.1E+08,8.3E+07,1.0E+08,9.0E+07,8.0E+07,8.0E+07,6.4E+07,2.9E+07,5.8E+07,6.5E+07,5.1E+07,6.5E+07,1.6E+05,1.7E+05,1.4E+05,1.3E+05,1.3E+05,1.3E+05,1.3E+05,36.3,19.8,7.5,11.2,16.4,7.8,Spermidine,AA Metabolism / Arginine / Spermidine / Polyamide 
A019_RP,L-(-)-Asparagine,132.0536,3.75,0.3,0.8,0.4,-0.2,-1.1,-1.0,-0.7,-1.2,-0.5,1.000,1.000,1.000,1.000,0.003,0.027,0.069,0.002,0.634,7.4E+07,9.9E+07,7.7E+07,8.2E+07,6.7E+07,9.7E+07,7.6E+07,8.4E+07,9.8E+07,1.9E+08,8.4E+07,1.4E+08,8.2E+07,1.5E+08,8.4E+07,1.4E+08,1.0E+08,1.4E+08,1.6E+08,1.8E+08,1.6E+08,2.4E+08,2.3E+08,3.0E+08,4.8E+05,1.7E+05,5.8E+05,4.3E+05,3.0E+05,1.5E+05,1.1E+05,33.6,32.9,15.8,8.6,9.9,6.0,L-(-)-Asparagine,AA metabolism / Asparagine 
A021_RP,L-(+)-Aspartic acid,133.0376,3.83,0.0,-0.1,0.0,0.9,1.3,0.3,1.0,1.2,0.2,1.000,1.000,1.000,0.000,0.000,0.181,0.000,0.000,0.969,1.1E+09,1.5E+09,1.2E+09,1.1E+09,1.3E+09,1.3E+09,1.5E+09,1.2E+09,7.0E+08,6.6E+08,6.9E+08,5.5E+08,6.4E+08,5.7E+08,6.1E+08,6.4E+08,4.7E+08,6.3E+08,5.8E+08,4.7E+08,4.7E+08,5.0E+08,6.0E+08,5.8E+08,5.7E+06,7.9E+06,6.5E+06,7.5E+06,2.0E+06,7.4E+06,6.6E+06,13.3,13.1,8.7,6.6,14.1,11.0,L-(+)-Aspartic acid,AA metabolism / Aspartate
B090_RP,N-Acetylaspartic acid,175.0481,7.26,-0.2,0.0,-0.4,2.5,4.0,1.5,2.3,4.2,1.9,1.000,1.000,1.000,1.000,0.377,1.000,1.000,1.000,1.000,5.9E+09,1.5E+06,5.3E+09,5.1E+09,5.8E+09,6.0E+09,6.6E+09,5.2E+09,1.1E+09,1.0E+09,8.7E+08,8.6E+08,1.0E+09,1.0E+09,1.1E+09,1.0E+09,4.3E+08,4.4E+08,4.1E+08,2.8E+08,3.3E+08,2.8E+08,3.3E+08,2.8E+08,5.0E+05,1.4E+06,6.7E+05,1.1E+06,6.3E+05,1.0E+06,1.8E+06,24.7,14.5,8.7,11.0,67.4,8.8,N-Acetylaspartic acid,AA metabolism / Aspartate
C153_RP,Succinyladenosine,383.1079,11.95,0.0,0.3,-0.2,1.1,1.6,0.5,0.9,1.9,1.0,1.000,1.000,1.000,0.000,0.000,0.017,0.000,0.000,0.000,2.3E+07,3.2E+07,2.4E+07,2.3E+07,2.5E+07,2.5E+07,2.3E+07,2.1E+07,1.4E+07,1.4E+07,9.9E+06,1.2E+07,1.0E+07,1.0E+07,1.1E+07,1.5E+07,7.1E+06,7.5E+06,8.0E+06,7.1E+06,8.5E+06,6.3E+06,6.1E+06,5.6E+06,3.4E+05,3.4E+05,2.0E+05,2.4E+05,2.2E+05,3.0E+05,4.1E+05,12.5,14.6,17.2,15.1,19.0,4.7,Succinyladenosine,AA metabolism / Aspartate
B100_RP,N-Acetyl-1-aspartylglutamic acid,304.0908,10.28,0.3,0.1,-0.4,-1.3,-0.2,1.1,-1.0,0.5,1.6,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.056,0.000,3.5E+08,5.7E+08,4.1E+08,4.0E+08,3.6E+08,5.0E+08,3.2E+08,4.0E+08,9.3E+08,9.8E+08,8.3E+08,8.4E+08,8.7E+08,9.0E+08,7.9E+08,9.1E+08,4.6E+08,4.3E+08,4.8E+08,3.1E+08,3.5E+08,3.0E+08,3.2E+08,3.0E+08,2.4E+05,2.4E+05,2.9E+05,2.5E+05,2.7E+05,2.3E+05,3.2E+05,18.2,19.4,6.1,7.0,17.2,9.5,N-Acetyl-1-aspartylglutamic acid,AA metabolism / Aspartate / Glutamate / Neurotransmitter 
C133_RP,D-PANTOTHENIC ACID,219.1108,12.14,0.4,0.2,-0.4,-1.1,0.1,1.2,-0.9,0.8,1.7,1.000,1.000,1.000,0.011,1.000,0.004,0.063,0.138,0.000,1.6E+08,3.0E+08,1.5E+08,1.6E+08,1.5E+08,2.2E+08,1.3E+08,1.7E+08,3.3E+08,3.8E+08,2.6E+08,3.0E+08,3.2E+08,3.6E+08,3.5E+08,4.9E+08,1.1E+08,1.1E+08,1.4E+08,8.6E+07,1.5E+08,2.3E+08,1.5E+08,1.1E+08,1.9E+05,1.9E+05,1.9E+05,1.9E+05,1.8E+05,1.9E+05,1.8E+05,47.9,11.3,20.9,12.0,30.1,9.2,D-PANTOTHENIC ACID,AA metabolism / beta-Alanine 
C268_HILIC,Homoanserine,254.1379,15.77,0.0,0.2,-0.3,6.0,5.0,-1.0,5.7,5.3,-0.5,1.000,1.000,1.000,0.000,0.000,0.005,0.000,0.000,0.129,7.8E+07,1.0E+08,7.9E+07,8.0E+07,8.6E+07,4.7E+07,7.4E+07,7.4E+07,1.3E+06,1.5E+06,1.2E+06,1.3E+06,1.2E+06,1.4E+06,1.6E+06,1.6E+06,3.0E+06,2.7E+06,2.7E+06,2.0E+06,2.3E+06,2.0E+06,1.9E+06,1.9E+06,2.5E+05,2.8E+05,5.2E+05,2.6E+05,2.5E+05,2.7E+05,2.8E+05,17.4,18.2,10.2,14.1,30.2,6.4,Homoanserine,AA metabolism / beta-Alanine / Histidine 
A051_RP,L-Anserine,240.1223,3.73,0.2,0.1,0.1,8.0,7.7,-0.4,8.1,7.8,-0.4,1.000,1.000,1.000,0.000,0.000,0.878,0.000,0.000,1.000,1.6E+08,1.8E+08,1.6E+08,1.8E+08,1.6E+08,1.6E+08,1.5E+08,1.8E+08,5.6E+05,4.5E+05,4.7E+05,4.6E+05,6.6E+05,8.3E+05,6.9E+05,1.2E+06,9.3E+05,1.2E+06,1.4E+06,1.2E+06,6.4E+05,4.8E+05,6.6E+05,3.6E+05,1.1E+05,1.0E+05,1.0E+05,9.8E+04,9.4E+04,8.7E+04,9.0E+04,56.3,40.2,47.9,16.9,7.0,3.6,L-Anserine,AA metabolism / beta-Alanine / Histidine 
B084_RP,g-Butyrobetaine,145.1103,4.57,-0.2,-0.5,-0.3,0.2,1.7,1.5,0.5,1.8,1.3,1.000,1.000,1.000,1.000,0.000,0.000,0.703,0.000,0.003,1.0E+08,9.1E+07,9.8E+07,9.2E+07,9.7E+07,8.7E+07,1.1E+08,6.4E+07,1.0E+08,6.6E+07,6.7E+07,5.9E+07,7.8E+07,4.8E+07,9.3E+07,7.9E+07,4.7E+07,4.2E+07,3.5E+07,2.6E+07,2.8E+07,2.6E+07,2.6E+07,2.3E+07,1.1E+05,1.1E+05,1.0E+05,1.0E+05,9.4E+04,9.5E+04,9.9E+04,29.8,28.6,20.3,18.9,15.5,6.3,g-Butyrobetaine,AA metabolism / Carnitine 
C216_HILIC,S-Allyl-L-cysteine,161.0511,2.71,-1.8,0.0,-0.8,1.3,1.8,0.4,-0.5,0.8,1.2,0.476,1.000,1.000,0.094,0.010,1.000,1.000,0.358,0.180,2.5E+08,7.5E+07,2.3E+08,4.9E+07,2.3E+08,1.2E+08,2.6E+08,6.5E+07,6.2E+07,4.2E+07,1.1E+08,1.5E+08,1.4E+08,1.7E+08,7.8E+07,5.0E+07,6.3E+07,4.2E+07,6.3E+07,5.3E+07,8.3E+07,2.2E+07,7.8E+07,4.1E+07,3.8E+06,2.3E+06,9.3E+05,1.6E+06,1.8E+06,4.6E+05,2.9E+06,32.4,14.6,64.5,36.0,37.1,5.8,S-Allyl-L-cysteine,AA metabolism / Cysteine
C254_HILIC,2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid,237.0308,18.85,-0.1,0.5,-0.1,1.5,1.2,-0.3,0.9,1.2,0.3,1.000,1.000,1.000,0.000,0.000,0.542,0.000,0.000,0.974,1.9E+07,2.8E+07,2.2E+07,1.9E+07,2.1E+07,1.9E+07,1.9E+07,1.9E+07,7.4E+06,1.1E+07,6.4E+06,8.7E+06,6.9E+06,9.5E+06,7.6E+06,1.1E+07,1.0E+07,7.6E+06,1.0E+07,9.3E+06,7.4E+06,1.1E+07,7.5E+06,7.8E+06,1.5E+05,1.7E+05,1.7E+05,1.6E+05,1.6E+05,1.7E+05,1.7E+05,15.4,17.7,12.6,7.3,20.4,6.3,2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid,AA metabolism / Cysteine 
B087_RP,L-Cysteinesulfinic acid,153.0096,4.51,1.0,-1.2,2.3,-2.1,-3.2,-1.1,0.1,-4.5,-4.6,1.000,1.000,1.000,0.450,0.020,0.775,1.000,0.015,0.017,4.9E+05,1.0E+06,3.2E+05,8.2E+05,8.5E+05,4.4E+06,7.8E+05,1.5E+06,2.9E+06,1.2E+06,2.6E+06,7.7E+05,7.5E+05,1.2E+06,3.7E+06,4.7E+06,6.0E+06,2.3E+07,3.0E+06,2.3E+06,8.8E+06,3.6E+07,5.7E+06,3.3E+07,1.1E+05,1.1E+05,6.8E+04,6.8E+04,5.7E+04,5.8E+04,9.0E+04,65.0,40.7,93.6,50.1,86.6,40.7,L-Cysteinesulfinic acid,AA metabolism / Cysteine 
C235_HILIC,Prenisteine,189.0825,2.32,-1.4,0.1,-0.6,1.5,1.6,0.2,-0.1,0.9,0.9,0.476,1.000,1.000,0.011,0.002,1.000,1.000,0.191,0.267,5.3E+07,2.4E+07,5.1E+07,1.2E+07,5.0E+07,3.4E+07,6.1E+07,1.7E+07,1.3E+07,1.3E+07,2.1E+07,3.1E+07,2.8E+07,2.7E+07,1.7E+07,1.4E+07,1.3E+07,1.2E+07,1.9E+07,1.5E+07,1.6E+07,7.1E+06,1.8E+07,1.0E+07,3.8E+05,4.1E+05,8.9E+05,9.9E+05,9.4E+05,3.2E+05,7.5E+05,29.8,16.4,43.5,32.2,43.4,9.3,Prenisteine,AA metabolism / Cysteine 
C218_HILIC,"L-Glutamic acid, 5-methyl ester",161.0689,10.42,-0.5,0.1,-0.2,2.6,2.2,-0.4,2.0,1.9,-0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.6E+08,2.7E+08,2.9E+08,1.8E+08,3.0E+08,1.7E+08,1.9E+08,1.9E+08,4.5E+07,4.6E+07,4.3E+07,5.2E+07,8.1E+07,4.9E+07,4.3E+07,4.3E+07,8.4E+07,6.7E+07,5.1E+07,4.3E+07,5.7E+07,5.2E+07,6.3E+07,5.2E+07,2.5E+05,3.6E+05,2.2E+05,2.3E+05,2.9E+05,2.1E+05,3.0E+05,18.9,22.3,8.6,35.4,23.1,18.7,"L-Glutamic acid, 5-methyl ester",AA metabolism / Glutamate
C128_RP,N-Acetyl-L-glutamic acid,189.0638,10.02,0.2,0.2,-0.3,2.9,2.5,-0.3,2.8,3.0,0.2,1.000,1.000,1.000,0.000,0.000,0.834,0.000,0.000,0.983,6.1E+07,9.2E+07,6.1E+07,5.9E+07,6.4E+07,7.7E+07,7.0E+07,6.4E+07,1.1E+07,1.0E+07,7.5E+06,9.9E+06,9.8E+06,1.2E+07,7.5E+06,8.9E+06,1.2E+07,1.1E+07,1.1E+07,7.5E+06,1.1E+07,9.0E+06,8.7E+06,8.7E+06,8.6E+05,6.4E+05,2.6E+05,4.6E+05,3.3E+05,4.5E+05,3.2E+05,14.5,13.4,12.3,21.1,19.8,6.4,N-Acetyl-L-glutamic acid,AA metabolism / Glutamate
B099_RP,Υ-L-Glutamyl-L-glutamic acid,276.0959,6.02,0.2,0.0,-0.1,2.8,2.3,-0.5,3.1,2.7,-0.4,1.000,1.000,1.000,0.000,0.001,0.667,0.000,0.000,1.000,1.2E+08,1.7E+08,1.3E+08,9.1E+07,1.1E+08,2.4E+08,2.2E+08,1.3E+08,8.3E+06,1.8E+07,1.7E+07,1.7E+07,1.9E+07,8.8E+06,2.3E+07,3.2E+07,2.6E+07,2.2E+07,2.4E+07,1.7E+07,2.1E+07,3.8E+07,3.7E+07,2.4E+07,2.1E+05,1.9E+05,2.0E+05,1.8E+05,1.8E+05,1.7E+05,1.7E+05,35.5,26.1,50.0,37.1,40.5,35.7,Υ-L-Glutamyl-L-glutamic acid,AA metabolism / Glutamate
A015_RP,L-Pyroglutamic acid,129.0427,9.63,0.5,0.7,0.2,1.1,1.0,-0.1,0.9,1.2,0.3,1.000,1.000,1.000,0.019,0.031,1.000,0.025,0.002,1.000,6.0E+07,1.0E+08,6.5E+07,6.0E+07,5.8E+07,2.3E+08,7.3E+07,7.1E+07,3.1E+07,5.9E+07,2.6E+07,4.0E+07,2.7E+07,3.7E+07,3.0E+07,5.0E+07,3.0E+07,3.3E+07,3.6E+07,3.4E+07,2.6E+07,3.9E+07,3.2E+07,4.1E+07,6.4E+06,2.2E+06,4.2E+06,4.3E+06,3.2E+06,2.7E+06,3.1E+06,10.3,12.7,22.0,7.3,67.2,10.2,L-Pyroglutamic acid,AA metabolism / Glutamate / Glutathione metabolism
A007_HILIC,gamma-Aminobutyric acid (GABA),103.0633,15.77,0.2,0.2,0.1,1.1,2.2,1.2,1.0,2.4,1.3,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,9.1E+09,1.1E+10,8.9E+09,8.9E+09,9.0E+09,9.9E+09,8.9E+09,1.1E+10,4.8E+09,4.6E+09,3.7E+09,5.1E+09,4.2E+09,5.1E+09,4.3E+09,5.0E+09,2.1E+09,2.2E+09,1.8E+09,1.9E+09,2.0E+09,1.7E+09,1.6E+09,2.0E+09,7.7E+06,7.4E+07,2.7E+06,4.8E+06,4.2E+06,3.0E+06,2.1E+06,11.6,10.8,4.1,10.6,8.5,1.0,gamma-Aminobutyric acid (GABA),AA Metabolism / Glutamate / Neurotransmitter
