Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,"N,N-Dimethylglycine",103.0633,3.99,-0.173095240100695,A081,RP_pos_2020,63.265970214832700,653,C01026,HMDB00093,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_RP,Choline,103.0997,3.82,0.080000000000000,0.270000000000000,0.060000000000000,0.550000000000000,0.170000000000000,-0.380000000000000,0.360000000000000,0.190000000000000,-0.170000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.221695712593508000000000000000,1.000000000000000000000000000000,0.678514683225312000000000000000,0.153719083042692000000000000000,0.529570299857447000000000000000,0.999999999992595000000000000000,395211560.809005000000000,464339298.323038000000000,432186378.030245000000000,415913060.430949000000000,414697713.621065000000000,786449778.196085000000000,493529945.942851000000000,432859265.738043000000000,281689641.510796000000000,419286620.807096000000000,297149384.685601000000000,279673518.114173000000000,279892934.871032000000000,230567532.721273000000000,301531270.745619000000000,436394403.288236000000000,315595652.085554000000000,302772006.781309000000000,377132661.464425000000000,397756974.213044000000000,437752796.552345000000000,441832367.306474000000000,377675524.049851000000000,389597210.330724000000000,7.0E+05,9.9E+05,1.8E+05,2.0E+05,2.2E+05,1.9E+05,1.7E+05,15.2,13.2,29.9,3.8,33.4,9.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Choline,103.0997,3.88,-0.154611546026531,B018,RP_pos_2020,,299,C00114,HMDB0000097,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A004_RP,L-Serine,105.0426,3.74,-0.080000000000000,0.500000000000000,0.180000000000000,0.580000000000000,0.050000000000000,-0.530000000000000,0.000000000000000,-0.210000000000000,-0.210000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.066319433363883800000000000000,1.000000000000000000000000000000,0.246471223426991000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.999999999992595000000000000000,302857693.588882000000000,338392474.645516000000000,315770560.612037000000000,288879523.354229000000000,297162578.423825000000000,264436656.021159000000000,327679923.900456000000000,295800167.838029000000000,205347868.473016000000000,317637241.958249000000000,234737871.211506000000000,292341549.730612000000000,208307420.926811000000000,290739972.113572000000000,175476677.798142000000000,248716668.481942000000000,196987246.083899000000000,243904039.756015000000000,279944167.200571000000000,274519249.933837000000000,317099581.811827000000000,408734758.720030000000000,344943448.326512000000000,401835043.530546000000000,1.9E+06,1.6E+06,2.3E+05,1.7E+06,1.3E+06,1.5E+06,1.3E+06,25.7,22.6,9.9,11.8,10.4,4.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Serine,105.0426,3.75,0.353302327603140,A075,RP_pos_2020,91.032025486249400,5736,C00065,HMDB0000187,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Serine,105.0426,3.74,0.353302327603140,A075,RP_neg_2020,91.032025486249400,5736,C00065,HMDB0000187,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A005_RP,Hypotaurine,109.0198,3.86,0.180000000000000,0.480000000000000,0.390000000000000,-2.540000000000000,-4.310000000000000,-1.770000000000000,-2.840000000000000,-4.520000000000000,-1.680000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000069231351567586300000000,0.000000000017125436871070700000,0.000014807182765990500000000000,0.000000005919331516174590000000,0.000000000008189500359907680000,0.000041077688246035400000000000,2542331.189620840000000,3068413.674971680000000,2689832.038240070000000,2145872.855479130000000,3086757.056176330000000,3930285.026572690000000,2652920.964407460000000,2986424.894060560000000,20352072.872621100000000,33072807.667784200000000,15522286.526637400000000,22154599.616268800000000,11292704.232251900000000,17843949.500708700000000,15610410.530497300000000,21177525.493236800000000,54786295.301389600000000,72225261.337834600000000,59204995.406147000000000,61382708.728263400000000,40985063.230524000000000,73552331.148444700000000,51093934.363261100000000,66493579.244455000000000,9.2E+04,8.9E+04,8.3E+04,7.7E+04,8.1E+04,7.7E+04,8.0E+04,8.2,15.1,28.0,23.6,24.0,8.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,3.88,0.681524431027504,B019,RP_pos_2020,70.956674196698300,96959,C00519,HMDB0000965,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,3.86,0.681524431027504,B019,RP_neg_2020,70.956674196698300,96959,C00519,HMDB0000965,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A006_RP,L-Creatinine,113.0590,4.29,-0.080000000000000,-0.270000000000000,-0.470000000000000,0.760000000000000,0.090000000000000,-0.670000000000000,0.950000000000000,0.480000000000000,-0.470000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.017340473403628700000000000000,1.000000000000000000000000000000,0.061757721416293300000000000000,0.003518274014739460000000000000,0.420597308578399000000000000000,0.159930258551172000000000000000,28409401.855588700000000,41120120.405525800000000,34502366.516799000000000,25497454.863705900000000,29176608.765879100000000,28873285.808320400000000,32243474.345668300000000,29150930.332897900000000,19538384.792678800000000,15363778.019835800000000,17065687.611349100000000,13855297.634589000000000,15097622.449299300000000,14658579.380764800000000,19200807.563438000000000,18913810.995528700000000,33925438.878469500000000,33816477.645936000000000,33895181.241000800000000,19894630.778290700000000,23980874.990783700000000,21808682.049610100000000,21685250.202403200000000,18476049.327697200000000,1.2E+05,4.8E+05,4.4E+05,4.7E+05,4.0E+05,2.2E+05,3.3E+05,29.8,22.8,14.2,11.7,22.0,9.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Creatinine,113.0589,4.30,0.997831488275249,E25,RP_pos_2020,45.792670403574300,568,C00791,HMDB0000562,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A007_RP,L-Proline,115.0634,4.45,0.260000000000000,1.420000000000000,0.440000000000000,-1.750000000000000,-2.780000000000000,-1.030000000000000,-2.910000000000000,-2.970000000000000,-0.060000000000000,1.000000000000000000000000000000,0.318264701352289000000000000000,1.000000000000000000000000000000,0.000024780130654812800000000000,0.000000115200107989828000000000,0.050104594778234000000000000000,0.000000065616179052707700000000,0.000000091329669374365700000000,0.999999999992595000000000000000,152947142.733929000000000,212436951.433527000000000,160335805.523304000000000,154225273.248019000000000,162854279.420238000000000,251827847.133719000000000,142209223.388741000000000,161585069.182658000000000,1017914682.051550000000000,1941661298.215830000000000,511748834.850874000000000,1326663933.074270000000000,541608820.051600000000000,1351532399.236620000000000,398659073.280849000000000,1458726399.642820000000000,896826892.493428000000000,904615041.249555000000000,1063701892.098770000000000,1431419370.295550000000000,1106042052.212740000000000,1495159833.739250000000000,1090619983.996820000000000,1551136876.163250000000000,4.2E+06,4.0E+06,3.9E+06,3.6E+06,3.4E+06,3.4E+06,3.6E+06,22.1,9.3,18.9,44.4,23.5,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-Citrulline,115.0634,4.21,-0.038298691775157,,RP_pos_2020,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Proline,115.0633,4.50,0.583358948510663,E13,RP_pos_2020,86.164400870144300,128566,C00148,HMDB0000162,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-2-Aminoadipic acid,115.0634,4.78,0.135518549126114,,RP_pos_2020,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A008_RP,Fumaric acid,116.0110,10.34,0.290000000000000,-0.180000000000000,-0.260000000000000,1.610000000000000,0.130000000000000,-1.480000000000000,2.080000000000000,0.680000000000000,-1.400000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000004090103938951900000000000,1.000000000000000000000000000000,0.000012610625790161700000000000,0.000001029181982190110000000000,0.076290498025825400000000000000,0.000167852765950909000000000000,9940877.623065640000000,15462290.745886200000000,11290916.022911500000000,9891934.510284830000000,11069689.651445000000000,14103154.732061300000000,14026086.898572400000000,13317601.342523900000000,3925421.598891430000000,4325432.602281610000000,2567940.980657220000000,2950517.866306840000000,3406973.408737830000000,3125135.618878610000000,3973018.804887670000000,3354228.374547340000000,10140898.672176800000000,10675094.039024900000000,13766909.652583900000000,6695363.662180790000000,10310704.561931500000000,9818165.695544500000000,9680929.970774230000000,7295902.447089660000000,6.4E+05,5.8E+05,1.1E+05,1.1E+05,6.4E+05,5.1E+05,7.9E+05,22.3,17.1,17.8,18.8,18.0,15.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fumaric acid,116.0110,10.47,0.031146813254941,A024,RP_neg_2020,88.199527125095400,10197150,C00122,HMDB0000134,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A009_RP,Guanidineacetic acid,117.0539,4.10,0.110000000000000,0.560000000000000,0.160000000000000,-2.410000000000000,0.760000000000000,3.160000000000000,-2.850000000000000,0.710000000000000,3.570000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000709227681340184000000000,0.034713084413387100000000000000,0.000000029134674196994000000000,0.000000041696665928757500000000,0.166429189708445000000000000000,0.000000007306995905778440000000,10020799.949801500000000,11782698.037598800000000,11301899.287845400000000,11021664.933492500000000,10386531.963651400000000,8729556.914981070000000,10687368.479159000000000,12918628.279568900000000,66336047.233807500000000,93465245.437823800000000,45464486.757381500000000,71268300.500801900000000,84476317.221085300000000,119117892.511459000000000,39934499.831483400000000,66452881.662466600000000,4382989.977480190000000,6226662.673184730000000,6994141.735442660000000,5795154.530211980000000,6299499.046389440000000,8740795.693422900000000,6172496.799684250000000,7686269.838091210000000,9.6E+04,9.5E+04,8.7E+04,8.5E+04,8.4E+04,8.6E+04,8.4E+04,19.0,18.7,27.5,34.6,15.9,5.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,4.13,0.341856151169640,A114,RP_pos_2020,46.014772517007500,743,C00581,HMDB0000128,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,4.12,0.341856151169640,A114,RP_neg_2020,46.014772517007500,743,C00581,HMDB0000128,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A010_RP,Betaine,117.0790,4.09,0.340000000000000,-0.410000000000000,-0.310000000000000,-1.840000000000000,-3.650000000000000,-1.810000000000000,-1.090000000000000,-3.000000000000000,-1.910000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000080624238937766500000000000,0.000000002905587924733490000000,0.000060827090294279900000000000,0.005449810020981750000000000000,0.000000033040078561974400000000,0.000051181437497487400000000000,57425150.737349200000000,95093312.789421600000000,65718137.387617200000000,58247816.496079200000000,67640385.220159800000000,93950068.332500700000000,62586312.488081400000000,68599509.769627600000000,200099316.070964000000000,135089783.076656000000000,258056108.601912000000000,209207708.475771000000000,171703807.009294000000000,136796448.982696000000000,304196686.163414000000000,282007517.217761000000000,1316378559.607410000000000,948186611.839253000000000,827787965.103781000000000,655537232.448587000000000,708825475.206167000000000,641980058.468039000000000,779892783.860395000000000,638539810.792090000000000,1.2E+06,5.5E+06,5.5E+06,5.1E+06,5.9E+05,4.7E+06,5.4E+06,21.0,30.4,36.7,25.4,23.4,7.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betaine,117.0790,4.19,0.486746298293265,A029,RP_pos_2020,,242,C00719,HMDB0000043,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A011_RP,Succinic acid,118.0267,10.44,-0.120000000000000,0.020000000000000,-0.310000000000000,1.030000000000000,1.160000000000000,0.130000000000000,0.890000000000000,1.350000000000000,0.460000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.016614196557995700000000000000,0.001736691355235870000000000000,0.999999999996173000000000000000,0.082798455072745700000000000000,0.001023839852391400000000000000,0.429190269683105000000000000000,125983230.779367000000000,136977536.677999000000000,120637831.883110000000000,112505586.365082000000000,113658209.767092000000000,52531976.932033000000000,88554330.990170700000000,103773234.425551000000000,73779916.314813400000000,69556133.815441700000000,56207448.737981600000000,49308840.103262600000000,58805952.248738700000000,63174253.552517300000000,51943673.641386800000000,53425444.948047300000000,45920861.952231600000000,42037216.000465100000000,55012215.635788200000000,40237052.044491900000000,54328598.814276900000000,44251846.336478200000000,50659986.325655200000000,42849177.074854500000000,1.9E+06,7.5E+05,1.1E+06,1.2E+06,1.6E+06,1.3E+06,1.2E+06,4.0,8.1,15.6,15.8,35.0,14.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Succinic acid,118.0266,10.54,0.859752675647229,B017,RP_pos_2020,90.356971555933000,1078,C00042,HMDB0000254,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Succinic acid,118.0266,10.55,0.859752675647229,B017,RP_neg_2020,90.356971555933000,1078,C00042,HMDB0000254,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A012_RP,Threonine,119.0584,3.92,0.310000000000000,0.630000000000000,0.300000000000000,-1.120000000000000,-3.560000000000000,-2.440000000000000,-1.430000000000000,-3.550000000000000,-2.120000000000000,1.000000000000000000000000000000,0.712039289058540000000000000000,1.000000000000000000000000000000,0.000026222268990171800000000000,0.000000000002960668747202060000,0.000000002597125609809280000000,0.000000364017325772599000000000,0.000000000003706417888654160000,0.000000044064145388045300000000,47137729.382912800000000,59721774.049241800000000,45974562.870528700000000,55219120.642136800000000,40433323.069137000000000,42379123.626808500000000,46013442.327397300000000,59164093.645861300000000,109143151.318328000000000,190279598.001806000000000,103733891.194967000000000,140595074.265895000000000,85777935.143943000000000,161376767.159384000000000,95710658.986877500000000,146791140.834467000000000,614778617.956263000000000,665160620.603634000000000,525523089.348000000000000,671581809.573625000000000,557340262.961358000000000,682934529.354924000000000,486273553.229720000000000,441522638.465232000000000,1.9E+05,2.0E+05,1.9E+05,8.8E+05,1.7E+05,1.8E+05,7.6E+05,18.9,9.9,13.9,10.3,14.9,6.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Threonine,119.0582,3.95,0.930625432046671,A076,RP_pos_2020,92.751736572664000,6051,C00188,HMDB0000167,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,3.86,0.930625432046671,A030,RP_pos_2020,92.701687497031000,12126,C00263,HMDB0000719,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,3.85,0.930625432046671,A030,RP_neg_2020,92.701687497031000,12126,C00263,HMDB0000719,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Threonine,119.0582,3.92,0.930625432046671,A076,RP_neg_2020,92.751736572664000,6051,C00188,HMDB0000167,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A013_RP,Taurine,125.0147,3.82,-0.120000000000000,-0.260000000000000,-0.310000000000000,-0.510000000000000,-0.460000000000000,0.050000000000000,-0.370000000000000,-0.260000000000000,0.110000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.010390765978354400000000000000,0.009880502333149540000000000000,0.999999999996173000000000000000,0.033246155115700600000000000000,0.067150697091170200000000000000,0.999999999992595000000000000000,3649937684.925490000000000,3989215793.156530000000000,3629801076.372100000000000,3362198689.651190000000000,3649082221.046560000000000,2762169630.975000000000000,3646832893.726610000000000,3364574615.824810000000000,5361658012.998450000000000,4374116306.425740000000000,5145486593.731490000000000,4191755249.610630000000000,4615774117.460540000000000,4318588115.942960000000000,5261694903.933450000000000,4968688385.715210000000000,5686954939.196290000000000,5372044963.913260000000000,5056225374.454430000000000,3995906060.903720000000000,4965255181.177380000000000,3864476222.687600000000000,4506623330.023530000000000,4061255776.254830000000000,2.6E+05,3.9E+05,2.4E+05,3.7E+05,2.9E+05,2.4E+05,3.1E+05,16.3,9.6,7.7,6.5,14.9,0.3,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurine,125.0147,3.84,0.582443598745383,A001,RP_pos_2020,93.371232423272800,1091,C00245,HMDB0000251,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurine,125.0147,3.85,0.582443598745383,A001,RP_neg_2020,93.371232423272800,1091,C00245,HMDB0000251,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A014_RP,2-Hydroxyethanesulfonic acid,125.9987,4.15,-0.290000000000000,0.080000000000000,-0.580000000000000,1.850000000000000,2.110000000000000,0.250000000000000,1.480000000000000,2.390000000000000,0.910000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000006604477137184260000000000,0.000001240070644755170000000000,0.999999999996173000000000000000,0.000027719648146929500000000000,0.000000157024639237853000000000,0.066963230477046100000000000000,43137616.877473700000000,50657875.951591300000000,43784026.100811700000000,36126306.360008500000000,44256250.640180000000000,34821727.178926300000000,41121535.302718000000000,33924008.498070700000000,14447945.733176000000000,11887460.342830100000000,10400839.164923300000000,9833267.490359710000000,10595484.258419100000000,13505295.974328200000000,13464358.237004900000000,15112073.896561400000000,14373204.894943600000000,12290209.247122000000000,10687849.795151800000000,6938473.159583460000000,9508260.836472580000000,6613682.750701320000000,9090830.147808290000000,6193378.184124780000000,3.6E+05,6.9E+04,2.5E+05,2.4E+05,7.1E+04,5.9E+04,1.1E+05,35.8,22.0,17.9,16.7,20.3,3.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
